Frick Chem Lab,1885,1169,77,155,FRICK,,,2
Architecture Lab,1952,1302,72,35,ARCHL,,,1
Grad College,192,1031,260,224,,GRADC,,1
Fisher,1205,896,60,24,,FISHE,,1
North~ Murley-Pivirotto~ North~ Community Hall~ Hargadon~ Lauritzen~ Baker~ 1981,1167,920,146,163,HARGH,,,1
Dillon West,1206,822,41,44,,,DILLW,3
Dillon East,1250,823,32,40,,,DILLE,4
Dillon Gym~ Stephens Fitness Center,1185,696,108,162,DILLG,,,2
Brown,1328,690,52,42,,BROWN,,1
McCormick~ Art Museum,1323,550,113,131,ARTMU,,,1
Architecture,1539,555,64,78,ARCHB,,,1
Marx,1630,555,31,38,MARXH,,,1
1879,1638,593,34,92,C1879,,,1
Campus,1712,670,42,26,CCAMP,,,1
Wu~ Wilcox,1388,914,110,75,WILCH,,,1
1939,1419,861,31,50,,,1939H,3
Gauss,1380,898,43,23,,GAUSS,,4
1915,1342,907,45,73,C1915,,,2
Wright,1327,788,33,38,,,WRGHT,1
Patton,1318,826,50,79,,,PATTN,2
Cuyler,1360,745,19,66,,CUYLE,,3
1903,1380,745,55,68,,,1903H,1
Walker,1380,813,61,47,,WALKE,,1
1937,1459,820,56,21,,,1937H,1
Feinberg,1442,813,17,24,,FEINB,,2
Frist,1574,717,101,88,FRIST,,,1
Jones,1512,754,62,40,JONES,,,1
Guyot~ Moffett~ Schultz,1594,865,123,113,GUYOT,,,1
Dodge-Osborn~1927-Clapp,1471,859,51,83,,,CLAPP,5
Eno,1525,905,53,24,ENOHA,,,6
McCosh Health,1530,812,64,53,MCCOH,,,1
Murray Dodge,1403,490,51,48,,MURRA,,1
West College,1222,422,36,47,,WESTC,,1
Clio,1271,489,30,40,CLIOH,,,1
Whig,1322,489,36,40,WHIG,,,1
Edwards,1237,540,21,57,,EDWAR,,1
Dod,1278,597,23,72,,DODHA,,1
Little,1119,540,90,172,,LITTL,,1
Laughlin~1901,1086,596,53,140,,,LAUGH,2
Pyne,1087,741,89,63,,PYNEH,,1
Class of 1887 Boathouse~ Shea Rowing center,1625,1759,144,106,,SHEAR,,1
Princeton Stadium~ Powers Field,1973,931,212,239,,POWER,,1
Frelinghuysen Field,1973,1170,220,108,,FRELI,,1
Finney Field~ Campbell Field,2234,1123,147,138,,FINNE,,1
Sexton Field,2383,1086,186,111,,SEXTO,,2
Strubing Field,2376,957,170,131,,STRUB,,1
Clarke Field,2219,919,152,178,,CLARK,,1
FitzRandolph Observatory,2430,1197,71,40,FITZO,,,1
Woolworth,1548,645,65,64,WOOLC,,,1
Prospect House,1472,641,57,56,PRO58,,,1
CJL,1733,793,68,49,CENJL,,,1
116~ 120 Prospect Apartments,2393,561,80,59,,120PR,,1
35 University Place,959,502,25,27,,35UNI,,1
41~ 45  University Placec,968,549,35,40,,45UNI,,1
Rock,1548,940,17,7,,ROCKL,,1
1938,1503,938,40,37,,1938H,,1
Nassau 185,1783,264,100,53,NA185,,,1
Ivy Lane 5,1810,819,47,20,IVY05,,,1
91 Prospect,2298,676,37,26,STH91,,,1
Bobst,2248,676,39,26,BOBSH,,,1
Broadmead,2631,986,67,61,BR171,,,1
